Printing Modifier Definitions:
Tag: can_recruit_explorer, Categories: Country, , All, 
Tag: can_invite_settlers, Categories: Country, , All, 
Tag: allow_rgo_slave_demand, Categories: Country, , All, 
Tag: allow_mysticism_vs_jurisprudence, Categories: Country, , All, 
Tag: army_logistics_distance, Categories: Unit, , All, 
Tag: army_logistics_distance_modifier, Categories: Unit, , All, 
Tag: army_artillery_power, Categories: Unit, , All, 
Tag: army_auxiliary_power, Categories: Unit, , All, 
Tag: army_cavalry_power, Categories: Unit, , All, 
Tag: army_infantry_power, Categories: Unit, , All, 
Tag: navy_galley_power, Categories: Unit, , All, 
Tag: navy_heavy_ship_power, Categories: Unit, , All, 
Tag: navy_light_ship_power, Categories: Unit, , All, 
Tag: navy_transport_power, Categories: Unit, , All, 
Tag: scaled_lost_war_cost_modifier, Categories: Country, , All, 
Tag: call_jihad_cost_modifier, Categories: Country, , All, 
Tag: national_church_power_cost_modifier, Categories: Country, , All, 
Tag: hussite_wars_actions_price_cost_modifier, Categories: Country, , All, 
Tag: join_sect_cost_modifier, Categories: Country, , All, 
Tag: disfavor_sect_cost_modifier, Categories: Country, , All, 
Tag: stop_disfavoring_sect_cost_modifier, Categories: Country, , All, 
Tag: promote_sect_cost_modifier, Categories: Country, , All, 
Tag: stop_promoting_sect_cost_modifier, Categories: Country, , All, 
Tag: leave_sect_cost_modifier, Categories: Country, , All, 
Tag: perform_tantric_ritual_cost_modifier, Categories: Country, , All, 
Tag: organize_spiritual_retreat_cost_modifier, Categories: Country, , All, 
Tag: commission_religious_images_cost_modifier, Categories: Country, , All, 
Tag: join_branch_cost_modifier, Categories: Country, , All, 
Tag: activate_avatar_cost_modifier, Categories: Country, , All, 
Tag: deactivate_avatar_cost_modifier, Categories: Country, , All, 
Tag: reroll_avatar_cost_modifier, Categories: Country, , All, 
Tag: perform_yoga_cost_modifier, Categories: Country, , All, 
Tag: indulge_in_feasts_cost_modifier, Categories: Country, , All, 
Tag: discard_worldly_possessions_cost_modifier, Categories: Country, , All, 
Tag: indulge_in_bloodbath_cost_modifier, Categories: Country, , All, 
Tag: favor_god_cost_modifier, Categories: Country, , All, 
Tag: nanbokuchou_change_sides_cost_modifier, Categories: Country, , All, 
Tag: nanbokuchou_declare_neutrality_cost_modifier, Categories: Country, , All, 
Tag: sengoku_attempt_imperial_restoration_cost_modifier, Categories: Country, , All, 
Tag: sengoku_force_end_war_cost_modifier, Categories: Country, , All, 
Tag: sengoku_revoke_clans_land_cost_modifier, Categories: Country, , All, 
Tag: sengoku_limit_clans_autonomy_cost_modifier, Categories: Country, , All, 
Tag: sengoku_summon_to_court_cost_modifier, Categories: Country, , All, 
Tag: sengoku_proclaim_clan_independence_cost_modifier, Categories: Country, , All, 
Tag: sengoku_increment_recruitment_cost_modifier, Categories: Country, , All, 
Tag: sengoku_offer_hostage_cost_modifier, Categories: Country, , All, 
Tag: sengoku_ask_for_hostage_cost_modifier, Categories: Country, , All, 
Tag: sengoku_prove_heritage_cost_modifier, Categories: Country, , All, 
Tag: grant_shugo_office_cost_modifier, Categories: Country, , All, 
Tag: revoke_shugo_office_cost_modifier, Categories: Country, , All, 
Tag: claim_shugo_office_cost_modifier, Categories: Country, , All, 
Tag: join_autocephalous_patriarchate_cost_modifier, Categories: Country, , All, 
Tag: create_autocephalous_patriarchate_cost_modifier, Categories: Country, , All, 
Tag: third_rome_cost_modifier, Categories: Country, , All, 
Tag: relocate_ecumenical_patriarchate_cost_modifier, Categories: Country, , All, 
Tag: cleansing_ritual_purity_cost_modifier, Categories: Country, , All, 
Tag: cleansing_ritual_yanantin_cost_modifier, Categories: Country, , All, 
Tag: get_claim_from_imperial_court_cost_modifier, Categories: Country, , All, 
Tag: get_marriage_from_imperial_court_cost_modifier, Categories: Country, , All, 
Tag: become_shogun_from_imperial_court_cost_modifier, Categories: Country, , All, 
Tag: appease_nobles_estate_from_shogun_court_cost_modifier, Categories: Country, , All, 
Tag: increase_levies_from_shogun_court_cost_modifier, Categories: Country, , All, 
Tag: increase_tax_income_from_shogun_court_cost_modifier, Categories: Country, , All, 
Tag: demand_extra_payment_from_shogun_court_cost_modifier, Categories: Country, , All, 
Tag: increase_peasant_satisfaction_from_ikko_ikki_cost_modifier, Categories: Country, , All, 
Tag: reduce_rebels_from_ikko_ikki_cost_modifier, Categories: Country, , All, 
Tag: allow_safe_refuge_cost_modifier, Categories: Country, , All, 
Tag: crackdown_their_strongholds_cost_modifier, Categories: Country, , All, 
Tag: increase_literacy_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: increase_clergy_satisfaction_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: favor_buddhist_schools_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: favor_kami_worship_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: keep_kami_and_buddha_balanced_from_religious_sects_cost_modifier, Categories: Country, , All, 
Tag: baptize_ruler_from_kirishitan_cost_modifier, Categories: Country, , All, 
Tag: hold_public_kirishitan_mass_cost_modifier, Categories: Country, , All, 
Tag: establish_treaty_with_kirishitan_cost_modifier, Categories: Country, , All, 
Tag: limit_movement_of_kirishitan_cost_modifier, Categories: Country, , All, 
Tag: pilgrimage_purity_cost_modifier, Categories: Country, , All, 
Tag: pilgrimage_yanantin_cost_modifier, Categories: Country, , All, 
